id,localTime,utcTime,mag,magType,depth_km,lat,lon,place,status,dist_from_epicenter_km
SGC2026pqqmro,2026-08-10 07:34,2026-08-10 12:34,7.4,Mw,103.0,4.990934719865107,-76.291741067906,"San José del Palmar - Chocó, Colombia",manual,15.6
SGC2026pqqrzq,2026-08-10 07:40,2026-08-10 12:40,2.2,MLr_1,73.0,4.434147721513884,-76.72121635012255,"Istmina - Chocó, Colombia",manual,73.7
SGC2026pqqtoz,2026-08-10 07:42,2026-08-10 12:42,1.3,MLr_2,0.0,4.905803944238757,-75.24150342896165,"Villahermosa - Tolima, Colombia",manual,108.5
SGC2026pqqwgj,2026-08-10 07:45,2026-08-10 12:45,2.7,MLr_1,89.0,4.697471487115886,-76.4827285484953,"Sipí - Chocó, Colombia",manual,34.9
SGC2026pqqysa,2026-08-10 07:48,2026-08-10 12:48,1.5,MLr_1,79.0,4.861387887390226,-76.36520553955282,"San José del Palmar - Chocó, Colombia",manual,16.1
SGC2026pqqzwb,2026-08-10 07:49,2026-08-10 12:49,2.0,MLr_1,75.0,4.807454104074153,-76.3830628099142,"San José del Palmar - Chocó, Colombia",manual,19.4
SGC2026pqqzld,2026-08-10 07:49,2026-08-10 12:49,1.6,MLr_1,67.0,4.669333333333333,-76.7435,"Sipí - Chocó, Colombia",manual,62.2
SGC2026pqratd,2026-08-10 07:50,2026-08-10 12:50,1.1,MLr_1,75.0,4.734484867822996,-76.47545164163891,"Sipí - Chocó, Colombia",manual,32.1
SGC2026pqrbod,2026-08-10 07:51,2026-08-10 12:51,1.4,MLr_1,78.0,4.869848088694708,-76.28421015666387,"San José del Palmar - Chocó, Colombia",manual,7.1
SGC2026pqrdli,2026-08-10 07:53,2026-08-10 12:53,1.4,MLr_1,80.0,4.869848088694708,-76.27567987432482,"San José del Palmar - Chocó, Colombia",manual,6.2
SGC2026pqrgby,2026-08-10 07:57,2026-08-10 12:57,0.8,MLr_1,73.0,4.869848088694708,-76.2586193096467,"San José del Palmar - Chocó, Colombia",manual,4.3
SGC2026pqrklk,2026-08-10 08:02,2026-08-10 13:02,1.4,MLr_1,83.0,4.843409959618202,-76.37897706594461,"San José del Palmar - Chocó, Colombia",manual,17.9
SGC2026pqrnrn,2026-08-10 08:05,2026-08-10 13:05,0.8,MLr_1,70.0,4.565333333333333,-76.51416666666667,"Sipí - Chocó, Colombia",manual,47.0
SGC2026pqromy,2026-08-10 08:06,2026-08-10 13:06,1.7,MLr_1,86.0,4.741887543964417,-76.46162975405176,"Sipí - Chocó, Colombia",manual,30.3
SGC2026pqrpcm,2026-08-10 08:07,2026-08-10 13:07,1.0,MLr_1,78.0,4.865617988042467,-76.31404530768462,"San José del Palmar - Chocó, Colombia",manual,10.4
SGC2026pqrppy,2026-08-10 08:08,2026-08-10 13:08,1.7,MLr_1,63.0,4.1285229493894695,-76.81666387211973,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,105.7
SGC2026pqrqmn,2026-08-10 08:09,2026-08-10 13:09,1.6,MLr_1,87.0,4.734484867822996,-76.46692305220155,"Sipí - Chocó, Colombia",manual,31.2
SGC2026pqrtud,2026-08-10 08:12,2026-08-10 13:12,2.8,MLr_1,48.0,4.6935,-76.53,"Sipí - Chocó, Colombia",manual,39.6
SGC2026pqrtck,2026-08-10 08:12,2026-08-10 13:12,1.4,MLr_1,88.0,4.3685,-76.63583333333334,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,72.3
SGC2026pqryij,2026-08-10 08:18,2026-08-10 13:18,4.8,MLr_1,94.0,4.870905613857769,-76.39191030576946,"San José del Palmar - Chocó, Colombia",manual,19.0
SGC2026pqsbft,2026-08-10 08:21,2026-08-10 13:21,2.2,MLr_1,92.0,4.461,-76.8125,"Istmina - Chocó, Colombia",manual,79.9
SGC2026pqsdzm,2026-08-10 08:24,2026-08-10 13:24,1.3,MLr_1,76.0,4.886768491303672,-76.3312106714784,"San José del Palmar - Chocó, Colombia",manual,12.5
