airport,iata,country,annual_pax_millions,pax_year,nearest_active_volcanoes,approx_distance_km,exposure_mode,co_located_airport_and_distance_km,real_alternate_and_distance_km,ground_link_to_alternate,closure_history,documented_procedure,pax_source,note
Jakarta Soekarno-Hatta,CGK,Indonesia,54.8,2024,Anak Krakatau; Gede-Pangrango; Salak,150; 60-80,B (ashfall/TMA),Halim HLP ~30 (closed simultaneously 2026),Kertajati ~200 E; Semarang ~400; Surabaya ~700,Whoosh HSR + toll road to Kertajati,2026-09 (2+ days),KP 153/2019 CDM; alternates designated 6 Sep 2026,PwC/InJourney 2025,Distances approximate; compute from GVP coordinates
Denpasar Ngurah Rai,DPS,Indonesia,24.1,2025,Agung; Batur,60; 50,B,Lombok LOP ~100 (closed simultaneously 2017),Surabaya ~330 (bus 12-13 h + ferry); Banyuwangi ~120,Bus via Mengwi terminal + ferry,2017-11 (2.5 days); repeated Lewotobi route cancellations 2024-25,Bus evacuation plan 2017; PHRI free hotel night,RRI/Antara 2025,
Manila Ninoy Aquino,MNL,Philippines,52.0,2025,Taal; Pinatubo,60; 90,B,Clark CRK ~80,Clark ~80,Expressway (NLEX/SCTEX),1991-06 (15-18 Jun; normal ops 4 Jul); 2020-01 (1 day),DOTC-DTI JAO 01-2012 refund only,GMA 2025,Clark itself destroyed by Pinatubo 1991
Tokyo Haneda,HND,Japan,~85,2025 (unverified),Fuji; Hakone,100; 80,B (scenario),Narita NRT ~70 (both downwind in westerlies),Chubu ~260; Kansai ~400; Ibaraki ~80,Shinkansen (also stops with trace ash per Cabinet Office WG),None to date,内閣府 広域降灰WG 2020; 首都圏降灰ガイドライン 2025,MLIT (verify),Trace ash assumed to suspend ops
Tokyo Narita,NRT,Japan,42.3,2025,Fuji,150,B (scenario),Haneda HND ~70,Chubu; Kansai,Shinkansen,None to date,same as HND,Statista 2025,
Kagoshima,KOJ,Japan,~5.5,2023,Sakurajima; Kirishima-Shinmoedake,30; 30,B (chronic),none,Miyazaki ~110; Kumamoto ~150,Expressway,Frequent short suspensions (e.g. 2025-05-15 25 flights; 2025-11 ~30 flights; 2026-06),Runway sweeping; consultation at 0.2-0.4 mm; de-ashing at ~2 mm; airline borescope,Kagoshima Airport Building Co.,World reference case for chronic small-eruption ops
Mexico City Benito Juarez,MEX,Mexico,44.6,2025,Popocatepetl,70,B,Felipe Angeles NLU ~45 (closed simultaneously 2023-05-20),Puebla ~100 (also closed 2023-05-22); Toluca ~60,Highway,2023-05-20 (~6 h) ; 2023-05-22 Puebla,None published,Mexico News Daily 2025,Co-located MAS failed against area-wide ash
Naples Capodichino,NAP,Italy,13.3,2025,Vesuvius; Campi Flegrei,15; 10,B/D (scenario),none,Rome FCO ~200; Bari ~250,Rail/highway,None to date,National civil protection plans (red zone 500-800k); no aviation-specific plan located,GESAC 2025,
Catania Fontanarossa,CTA,Italy,~13,2025 (projection),Etna,30,B (chronic),Comiso CIY ~80,Palermo ~200,Highway,2021; 2023-08; 2024-07/08; 2025-06; 2026-08 (~700 cancellations),Sector-based partial closure (A-D sectors; arrival caps),Aerotime/La Sicilia,Italian minister: airport 'in the wrong place'
Keflavik,KEF,Iceland,8.1,2025,Reykjanes system; Grimsvotn; Eyjafjallajokull; Katla,20; 250; 130,A/B,Reykjavik RKV ~40,Akureyri ~250; Egilsstadir ~400,Ring road,2011-05 (~36 h); 2010 Iceland largely spared while Europe closed,Isavia plan (not retrieved),Isavia 2025,Reykjanes 2023-25 effusive: no air traffic impact
Anchorage Ted Stevens,ANC,USA,3.9 Mt cargo (3rd worldwide),2025,Spurr; Redoubt; Augustine,130; 180; 280,B/C,none,Fairbanks FAI ~420,Highway/rail,1989-12 (airlines self-suspended days); 1992-08 (20 h),2025 Spurr preparedness: filters; ash removal; FAI coordination,Alaska's News Source 2026,Top cargo hub exposure
Seattle-Tacoma,SEA,USA,52.7,2025,Rainier; St Helens; Glacier Peak,90; 150; 110,B (low; prevailing winds east),Paine Field PAE ~50,Portland ~230,I-5 / rail,1980 St Helens: SEA spared; Spokane/Yakima closed,None specific,Port of Seattle 2025,Rainier hazard is lahar not ash
Quito Mariscal Sucre,UIO,Ecuador,5.3,2024,Guagua Pichincha; Reventador; Cotopaxi,15; 90; 50,B,none,Guayaquil ~270,Highway,1999 (~48 h); 2002 (8 days); 2015 (delays),None retrieved,Quiport 2024,
Guatemala City La Aurora,GUA,Guatemala,4.9,2024,Fuego; Pacaya; Agua,40; 30; 25,B,none,none domestic; San Salvador ~180,Highway,2018-06 (1 day); 2021-03 (Pacaya); repeated,None retrieved,Secondary,
San Jose Juan Santamaria,SJO,Costa Rica,~3.2 (high season Nov-Apr),2025-26,Turrialba; Poas; Irazu,55; 30; 35,B (chronic),none,Liberia LIR ~150,Highway,~12 closures since 2015; 2016-09 (~10 h; 120 flights; 3000 pax),None retrieved,Airport Technology,
Auckland,AKL,New Zealand,19,2025,Auckland Volcanic Field (monogenetic),0-20,B/D (scenario),none,Hamilton ~110; Wellington ~480,Highway,2011-06 Puyehue route disruptions (>60 NZ flights),DEVORA scenarios (GNS 2018),Auckland Airport 2025,
Santiago Arturo Merino Benitez,SCL,Chile,26.5,2025,Tupungatito; Calbuco/Puyehue (route),80; 900,A (route),none,none,n/a,2011; 2015 route cancellations,None retrieved,Aviacionline,
Singapore Changi,SIN,Singapore,70.0,2025,Sumatra arc (Sinabung; Marapi; Kerinci); Krakatau,200-800,A (route),Seletar XSP,Kuala Lumpur ~300,Causeway,2026-09: SIA 19 + Scoot 12 Jakarta flights cancelled,Airline SRA,Changi Airport Group 2025,Exposure is route/destination-based
Kuala Lumpur,KUL,Malaysia,63.3,2025,Sumatra arc,200-400,A (route),Subang SZB,Penang ~300,Highway/rail,2026-09 Jakarta flights adjusted,Airline SRA,The Edge 2025,
Hong Kong,HKG,Hong Kong,61.0,2025,Luzon arc; Taiwan Tatun (pinch point),700; 800,A (route),none,Shenzhen; Macau,Bridge/rail,None,Airline SRA,HKIA 2026,
Bangkok Suvarnabhumi,BKK,Thailand,58.1,FY2025,none proximal (route to Indonesia),n/a,A (route),Don Mueang DMK,n/a,n/a,None,Airline SRA,Kaohoon,
Taipei Taoyuan,TPE,Taiwan,>40 (unverified),2025,Tatun Volcano Group,20,B (scenario; Mani et al. pinch point),Songshan TSA ~40,Kaohsiung ~300,HSR,None,None retrieved,Unverified,
