event,country,date,vei,plume_km,deaths,evacuees_or_affected,airports_closed,closure_duration,flights_cancelled,passengers_affected,economic_loss,loss_source,aviation_note,primary_sources
Galunggung,Indonesia,1982-04 to 1983-01,4,~20,21-68 (conflicting),40000-60000 evacuated,Java airspace closed after 2nd incident,weeks (dates unverified),n/a,n/a,94000 ha farmland destroyed,NOAA NGDC,BA009 (24 Jun 1982) and SQ21A (13 Jul 1982) lost engines; catalyst for ICAO IAVW/VAAC,SKYbrary; Volcano World; NGDC
Redoubt,USA (Alaska),1989-12 to 1990-04,3,~12,0,n/a,Anchorage intermittently,days,n/a,n/a,US$80 m damage to KLM867 alone,USGS/Casadevall 1994,KLM867 B747-400 lost all 4 engines 15 Dec 1989; led to Anchorage VAAC,Casadevall 1994 JVGR
Pinatubo,Philippines,1991-06-15,6,>35,847,>200000 evacuated (Clark AB 15000),Manila NAIA + 7 PH airports; Clark AB abandoned,NAIA closed to arriving jets 15-18 Jun,n/a,n/a,PHP 10.1 bn (US$374 m) 1991 + PHP 1.9 bn 1992; aircraft ~US$100 m,Mercado et al. 1996 (USGS Fire and Mud); NASA,16 damaging in-flight encounters; 10 engines replaced,Casadevall et al. 1996
Eyjafjallajokull,Iceland,2010-04-14 to 05-23,4,~9,0,~800 evacuated locally,Most of European airspace 15-21 Apr (+May),8 days core,~100000-108000,~10 million,Airlines US$1.7 bn (IATA); global GDP US$4.7 bn (Oxford Economics),IATA 2010; Oxford Economics 2010,Zero-tolerance rule; shift to concentration thresholds; IVATF,see Eyja sheet
Merapi,Indonesia,2010-10-26 to 11-30,4,~17,386 (BNPB),~350000-400000 displaced,Adisutjipto Yogyakarta; intl carriers suspended Jakarta 6-7 Nov,15 days (5-20 Nov),~2000 (Picquout) / 1350 (conflicting),n/a,Rp 7.1 tn (~US$781 m) BNPB; >Rp 4 tn (BNPB-WB-UNDP),BNPB; World Bank 2010,Flights shifted to Solo/Semarang/Surabaya; Hajj pilgrims delayed; one airline bankruptcy,Picquout et al. 2013 JVGR
Grimsvotn,Iceland,2011-05-21 to 05-28,4,~20,0,n/a,Keflavik; parts of UK/Scandinavia/Germany,~4 days,~900,n/a,small vs 2010,Eurocontrol,New thresholds limited disruption,Eurocontrol 2011
Puyehue-Cordon Caulle,Chile,2011-06-04 onward,5,~12-14,0,~3500 evacuated,Bariloche (months); Buenos Aires; Montevideo; AUS/NZ closures Jun 2011,months for Bariloche,thousands (AUS/NZ several hundred),hundreds of thousands (AUS/NZ),Patagonia agriculture/tourism losses,see global sheet,Ash circled Southern Hemisphere,see global sheet
Kelud,Indonesia,2014-02-13,4,~20,~7,~100000 evacuated; 201228 affected,7 (Juanda; Adisutjipto; Adi Soemarmo; Ahmad Yani; Malang; Bandung; Cilacap),~5 days (Adisutjipto reopened 19 Feb); others up to >1 week,n/a (thousands stranded),n/a,Agriculture Rp 377 bn; 8622 houses severely damaged; Yogyakarta hotels >Rp 2 bn/day,Blake et al. 2015 GNS; Jakarta Post,All Central/East Java airports simultaneously closed,BNPB; GVP
Ontake,Japan,2014-09-27,2 (phreatic),~7,63,n/a,none,none,0,0,n/a (tourism loss unquantified),Kaneko et al. 2016,No precursors; worst post-war volcanic disaster in Japan,Kaneko et al. 2016 EPS
Calbuco,Chile,2015-04-22,4,~15,0,~6500 evacuated,Puerto Montt; Bariloche; flights in CL/AR/UY/BR cancelled,days,n/a,n/a,see global sheet,see global sheet,,see global sheet
