time_utc,lat,lon,depth_km,mag,mag_type,region
2026-08-10 12:34:27,4.991,-76.292,103.41,7.4,Mw,"San Jose del Palmar - Choco, Colombia"
2026-08-10 12:40:40,4.434,-76.721,72.86,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-10 12:45:36,4.697,-76.483,88.68,2.7,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 12:49:47,4.807,-76.383,74.82,2.0,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 13:06:46,4.742,-76.462,85.68,2.9,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 13:12:56,4.694,-76.53,48.21,2.8,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 13:18:09,4.871,-76.392,93.99,4.8,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 13:21:33,4.461,-76.813,91.91,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-10 13:31:55,4.865,-76.347,92.38,3.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 13:34:44,4.843,-76.353,89.61,2.9,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 13:38:52,4.85,-76.37,90.99,3.0,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 13:48:52,4.612,-76.689,101.22,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 13:51:21,4.843,-76.306,86.14,2.3,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 13:54:38,4.262,-76.688,71.95,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-10 13:59:06,4.75,-76.47,81.98,2.4,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 14:05:06,4.638,-76.612,74.59,2.4,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 14:12:56,4.364,-76.74,90.1,2.2,MLr_2,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-10 14:17:18,4.763,-76.457,80.1,2.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 14:25:21,4.814,-76.37,83.6,2.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 14:27:44,4.849,-76.824,15.11,2.0,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-10 14:37:16,4.528,-76.495,82.67,2.4,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 14:41:39,4.502,-76.415,59.46,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 14:44:09,4.434,-76.691,46.98,2.0,MLr_1,"Istmina - Choco, Colombia"
2026-08-10 14:49:31,4.434,-76.725,91.8,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-10 15:01:31,4.844,-76.41,87.58,3.8,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 15:18:12,4.281,-76.749,99.26,2.0,M,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-10 15:22:49,4.877,-76.362,86.37,2.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 15:26:01,4.237,-76.604,106.34,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-10 15:30:50,4.441,-76.587,114.21,2.4,MLr_1,"Sipi - Choco, Colombia"
2026-08-10 15:33:55,4.866,-76.33,98.51,2.5,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-10 15:42:16,4.757,-76.44,81.52,2.1,MLr_1,"San Jose del Palmar - Choco, Colombia"
